company_id,company_name
148,"SECURITY CREDIT SERVICES, LLC"
149,AES/PHEAA
150,"LDF HOLDINGS, LLC"
151,"AMERICAN CREDIT ACCEPTANCE, LLC"
152,ONE SOURCE TECHNOLOGY
153,PERFORMANT FINANCIAL CORPORATION
154,MONTEREY FINANCIAL SERVICES LLC
155,"INSIGHT MANAGEMENT PARTNERS, LLC"
156,"HARRIS & HARRIS, LTD."
157,"BROKER SOLUTIONS, INC."
158,MICROBILT / PRBC (FORMERLY CL VERIFY)
159,"WESTLAKE SERVICES, LLC"
160,"ABILITY RECOVERY SERVICES, LLC"
161,"AARGON AGENCY, INC."
162,"CONTINENTAL FINANCE COMPANY, LLC"
163,UNITED SERVICES AUTOMOBILE ASSOCIATION
164,"CARMAX, INC."
165,"PROFESSIONAL MEDICAL MANAGEMENT, INC."
166,"PROFESSIONAL DEBT MEDIATION, INC."
167,"IO, INC."
168,INVESTORS BANK
169,"FAIRWAY CAPITAL RECOVERY, LLC"
170,"HEALTHCARE COLLECTIONS-I, LLC"
171,"DOVENMUEHLE MORTGAGE, INC."
172,EDFINANCIAL SERVICES
173,"JOHN C. HEATH, ATTORNEY AT LAW, PLLC"
174,"CONTINENTAL SERVICES GROUP, INC. D/B/A CONSERVE"
175,ATLANTICUS SERVICES CORPORATION
176,MILLCO MANAGEMENT
177,"MONARCH RECOVERY HOLDINGS, INC."
178,HUNT & HENRIQUES
179,POSSIBLE FINANCIAL INC
180,"SELLING SOURCE, LLC"
181,QUALITY ASSET RECOVERY LLC
182,"FINANCE SYSTEM OF GREEN BAY, INC."
183,"REAL TIME GROUP, INC."
184,"UNITED ACCOUNTS, INC."
185,TRUEACCORD CORP.
186,"INDEPENDENT DEALERS' ADVANTAGE, LLC"
187,"ONLINE INFORMATION SERVICES, INC."
188,LOBEL FINANCIAL CORPORATION
189,CVB FINANCIAL CORP.
190,"ALLIED COLLECTION SERVICES, INC. (NEVADA)"
191,HOME POINT FINANCIAL CORPORATION
192,ALLIED FINANCIAL SERVICES INC
193,FAIRWAY INDEPENDENT MORTGAGE CORPORATION
194,FIRST ASSOCIATES LOAN SERVICING LLC
195,ERC
196,"SUNRISE CREDIT SERVICES, INC"
197,"FLAGSTAR BANK, N.A."
198,"DUNCAN SOLUTIONS, LNC."
199,CONRAD CREDIT CORPORATION
200,VW CREDIT
201,FIRSTPOINT COLLECTION RESOURCES
202,"TIMEMARK SOLUTIONS, INC"
203,CL HOLDINGS LLC
204,"GVA HOLDINGS, LLC"
205,GLOBAL RECOVERY SOLUTIONS
206,"MCCALLA RAYMER LEIBERT PIERCE, LLC"
207,CONGRESS COLLECTION CORP
208,TMX FINANCE LLC
209,FIRST TECHNOLOGY FEDERAL CREDIT UNION
210,"BRYANT, HODGE & ASSOCIATES LLC"
211,"MIDWEST FIDELITY SERVICES, LLC"
212,"COLLECTION BUREAU OF THE HUDSON VALLEY, INC."
213,"EMONEYUSA HOLDINGS, LLC"
214,"BLAKELY-WITT AND ASSOCIATES, INC."
215,"INTERNATIONAL COMPUTER SYSTEMS, INC."
216,FREEDOM MORTGAGE COMPANY
217,WINKLEVOSS EXCHANGE LLC
218,"CBC COMPANIES, INC."
219,"AFFIRM HOLDINGS, INC"
220,ROBINHOOD MARKETS INC.
221,SEQUOIA FINANCIAL SERVICES
222,"PLANET HOME LENDING, LLC"
223,"STERLING JEWELERS, INC."
224,"ADLER WALLACH & ASSOCIATES, INC."
225,MANLEY DEAS & KOCHALSKI LLC
226,"GENERAL MOTORS FINANCIAL COMPANY, INC."
227,"ACIMA CREDIT, LLC"
228,"ROCKET MORTGAGE, LLC"
229,"BMO BANK, N.A."
230,"FEIN, SUCH, KAHN & SHEPARD, P.C."
231,"PACIFIC UNION FINANCIAL, LLC"
232,"SANTANDER HOLDINGS USA, INC."
233,AMERICOLLECT
234,FC HOLDCO LLC
235,CREDIT BUREAU SERVICES OF IOWA INC.
236,FRANKLIN CREDIT MANAGEMENT CORPORATION
237,"PENNYMAC LOAN SERVICES, LLC."
238,"GREENSKY, LLC"
239,WORLDREMIT CORP.
240,PREMIER STUDENT LOAN CENTER
241,TECCO SYSTEMS
242,"LD HOLDINGS GROUP, LLC"
243,NATIONSTAR MORTGAGE LLC
244,"COLLECTION INFORMATION BUREAU, INC."
245,"MEDIA COLLECTIONS, INC"
246,MERCEDES BENZ FINANCIAL SERVICES
247,CHALLENGE FINANCIAL SERVICES
248,"OPTUM BANK, INC."
249,"ALLIANCE ONE, INC."
250,"CASHREPUBLIC HOLDINGS, INC."
251,USI SOLUTIONS INC.
252,THE RECEIVABLE MANAGEMENT SERVICES LLC
253,FIRST NATIONAL BANK OF OMAHA
254,"EXPERT GLOBAL SOLUTIONS, INC."
255,KIKOFF INC.
256,"GILLMAN INTERESTS, INC."
257,"MAXIMUS FEDERAL SERVICES, INC."
258,SECURITY FINANCE CORP
259,"RECEIVABLES PERFORMANCE MANAGEMENT, LLC"
260,HARLEY DAVIDSON FINANCIAL SERVICES INC
261,ONEMAIN FINANCE CORPORATION
262,"THE CBE GROUP, INC."
263,LJ ROSS ASSOCIATES
264,"COAST PROFESSIONAL, INC."
265,CONSUMER COLLECTION MANAGEMENT. INC
266,"COLLECTION RECEIVABLES, INC."
267,"FINANCIAL MANAGEMENT SOLUTIONS, LLC"
268,WESTERN-SHAMROCK CORPORATION
